-- SG    KRG    KROG   PCOG
SGOF
0.14591837 0.01152434 0.76694422 0.02796936
0.15510204 0.01514913 0.75297648 0.02814125
0.16428571 0.01909009 0.73909458 0.02831634
0.17346939 0.02332362 0.72529906 0.02849474
0.18265306 0.02783073 0.71159045 0.02867656
0.19183673 0.03259574 0.69796931 0.02886191
0.20102041 0.03760537 0.68443621 0.02905089
0.21020408 0.04284822 0.67099173 0.02924364
0.21938776 0.04831432 0.65763645 0.02944027
0.22857143 0.05399492 0.64437096 0.02964093
0.23775510 0.05988220 0.63119590 0.02984574
0.24693878 0.06596915 0.61811187 0.03005486
0.25612245 0.07224940 0.60511952 0.03026844
0.26530612 0.07871720 0.59221949 0.03048664
0.27448980 0.08536725 0.57941247 0.03070962
0.28367347 0.09219468 0.56669911 0.03093757
0.29285714 0.09919501 0.55408012 0.03117068
0.30204082 0.10636406 0.54155622 0.03140913
0.31122449 0.11369795 0.52912812 0.03165314
0.32040816 0.12119306 0.51679657 0.03190293
0.32959184 0.12884599 0.50456234 0.03215873
0.33877551 0.13665355 0.49242621 0.03242078
0.34795918 0.14461273 0.48038896 0.03268934
0.35714286 0.15272071 0.46845143 0.03296468
0.36632653 0.16097480 0.45661445 0.03324711
0.37551020 0.16937245 0.44487889 0.03353692
0.38469388 0.17791126 0.43324563 0.03383444
0.39387755 0.18658892 0.42171557 0.03414003
0.40306122 0.19540326 0.41028965 0.03445405
0.41224490 0.20435217 0.39896883 0.03477689
0.42142857 0.21343368 0.38775409 0.03510899
0.43061224 0.22264587 0.37664644 0.03545078
0.43979592 0.23198691 0.36564693 0.03580276
0.44897959 0.24145504 0.35475663 0.03616543
0.45816327 0.25104860 0.34397665 0.03653935
0.46734694 0.26076594 0.33330813 0.03692511
0.47653061 0.27060553 0.32275224 0.03732336
0.48571429 0.28056586 0.31231020 0.03773477
0.49489796 0.29064548 0.30198327 0.03816010
0.50408163 0.30084299 0.29177274 0.03860014
0.51326531 0.31115706 0.28167995 0.03905576
0.52244898 0.32158637 0.27170630 0.03952791
0.53163265 0.33212967 0.26185322 0.04001761
0.54081633 0.34278574 0.25212222 0.04052597
0.55000000 0.35355339 0.24251483 0.04105421
0.55918367 0.36443149 0.23303268 0.04160366
0.56836735 0.37541892 0.22367743 0.04217577
0.57755102 0.38651460 0.21445084 0.04277216
0.58673469 0.39771749 0.20535472 0.04339459
0.59591837 0.40902658 0.19639097 0.04404500
0.60510204 0.42044086 0.18756158 0.04472556
0.61428571 0.43195940 0.17886863 0.04543868
0.62346939 0.44358124 0.17031428 0.04618704
